division,date,zhvi,hpi,unemployment_rate,total_population,median_income,bachelors_pct,total_households,construction_permits,rental_vacancy_rate
East South Central,2024-06-01,214034.22849324805,401.445,4.1,3605408.0,71644.6505879501,40.198009351507515,7781424.0,89735.0,6.365982251320354
East South Central,2024-07-01,214295.4911547292,400.98,4.2,3605408.0,71644.6505879501,40.198009351507515,7781424.0,89735.0,6.365982251320354
East South Central,2024-08-01,214153.40383693745,402.975,4.2,3605408.0,71644.6505879501,40.198009351507515,7781424.0,89735.0,6.365982251320354
East South Central,2024-09-01,213800.2041065514,404.65,4.1,3605408.0,71644.6505879501,40.198009351507515,7781424.0,89735.0,6.365982251320354
East South Central,2024-10-01,213828.52045776183,407.62,4.1,3605408.0,71644.6505879501,40.198009351507515,7781424.0,89735.0,6.365982251320354
East South Central,2024-11-01,214172.6623559273,403.96000000000004,4.2,3605408.0,71644.6505879501,40.198009351507515,7781424.0,89735.0,6.365982251320354
East South Central,2024-12-01,215299.2086532067,405.39,4.1,3605408.0,71644.6505879501,40.198009351507515,7781424.0,89735.0,6.365982251320354
Middle Atlantic,2010-01-01,141328.8470423141,199.635,9.8,24321388.0,58720.82923721294,34.018734288520044,15322390.0,52843.0,5.865259397928724
Middle Atlantic,2010-02-01,141387.4692039041,200.785,9.8,24321388.0,58720.82923721294,34.018734288520044,15322390.0,52843.0,5.865259397928724
Middle Atlantic,2010-03-01,141476.95945748067,199.09,9.9,24321388.0,58720.82923721294,34.018734288520044,15322390.0,52843.0,5.865259397928724
Middle Atlantic,2010-04-01,141589.14591065134,198.22,9.9,24321388.0,58720.82923721294,34.018734288520044,15322390.0,52843.0,5.865259397928724
Middle Atlantic,2010-05-01,141640.77595194775,199.405,9.6,24321388.0,58720.82923721294,34.018734288520044,15322390.0,52843.0,5.865259397928724
Middle Atlantic,2010-06-01,141691.91595454622,200.215,9.4,24321388.0,58720.82923721294,34.018734288520044,15322390.0,52843.0,5.865259397928724
Middle Atlantic,2010-07-01,141618.3875582972,199.525,9.4,24321388.0,58720.82923721294,34.018734288520044,15322390.0,52843.0,5.865259397928724
Middle Atlantic,2010-08-01,141470.25252588795,197.695,9.5,24321388.0,58720.82923721294,34.018734288520044,15322390.0,52843.0,5.865259397928724
Middle Atlantic,2010-09-01,142815.29520941054,197.03500000000003,9.5,24321388.0,58720.82923721294,34.018734288520044,15322390.0,52843.0,5.865259397928724
Middle Atlantic,2010-10-01,142408.18505485816,198.49,9.4,24321388.0,58720.82923721294,34.018734288520044,15322390.0,52843.0,5.865259397928724
Middle Atlantic,2010-11-01,141936.59702170317,196.875,9.8,24321388.0,58720.82923721294,34.018734288520044,15322390.0,52843.0,5.865259397928724
Middle Atlantic,2010-12-01,141357.1525150718,194.92000000000002,9.3,24321388.0,58720.82923721294,34.018734288520044,15322390.0,52843.0,5.865259397928724
Middle Atlantic,2011-01-01,140809.0368098224,193.31,9.1,24935546.0,59667.32878385739,34.500593357771265,15349107.0,50494.0,5.709410537438747
Middle Atlantic,2011-02-01,140270.5939520375,192.715,9.0,24935546.0,59667.32878385739,34.500593357771265,15349107.0,50494.0,5.709410537438747
Middle Atlantic,2011-03-01,139885.53351760827,191.25,9.0,24935546.0,59667.32878385739,34.500593357771265,15349107.0,50494.0,5.709410537438747
Middle Atlantic,2011-04-01,139513.30154715042,193.395,9.1,24935546.0,59667.32878385739,34.500593357771265,15349107.0,50494.0,5.709410537438747
Middle Atlantic,2011-05-01,139123.6476538603,191.7,9.0,24935546.0,59667.32878385739,34.500593357771265,15349107.0,50494.0,5.709410537438747
Middle Atlantic,2011-06-01,138599.18173240786,193.16,9.1,24935546.0,59667.32878385739,34.500593357771265,15349107.0,50494.0,5.709410537438747
Middle Atlantic,2011-07-01,138093.1826466286,193.37,9.0,24935546.0,59667.32878385739,34.500593357771265,15349107.0,50494.0,5.709410537438747
Middle Atlantic,2011-08-01,137659.77869831497,192.64,9.0,24935546.0,59667.32878385739,34.500593357771265,15349107.0,50494.0,5.709410537438747
Middle Atlantic,2011-09-01,137413.80749554906,191.83999999999997,9.0,24935546.0,59667.32878385739,34.500593357771265,15349107.0,50494.0,5.709410537438747
