division,date,zhvi,hpi,unemployment_rate,total_population,median_income,bachelors_pct
South Atlantic,2010-01-01,142282.12377833945,188.38,9.8,22994754.0,54643.76816877449,33.98839857995437
South Atlantic,2010-01-01,142282.12377833945,189.76,9.8,22994754.0,54643.76816877449,33.98839857995437
South Atlantic,2010-02-01,141831.18985792002,185.43,9.8,22994754.0,54643.76816877449,33.98839857995437
South Atlantic,2010-02-01,141831.18985792002,186.48,9.8,22994754.0,54643.76816877449,33.98839857995437
South Atlantic,2010-03-01,141521.17996452845,187.5,9.9,22994754.0,54643.76816877449,33.98839857995437
South Atlantic,2010-03-01,141521.17996452845,187.17,9.9,22994754.0,54643.76816877449,33.98839857995437
South Atlantic,2010-04-01,141300.55441854688,189.67,9.9,22994754.0,54643.76816877449,33.98839857995437
South Atlantic,2010-04-01,141300.55441854688,187.9,9.9,22994754.0,54643.76816877449,33.98839857995437
South Atlantic,2010-05-01,140791.25714568887,188.5,9.6,22994754.0,54643.76816877449,33.98839857995437
South Atlantic,2010-05-01,140791.25714568887,185.74,9.6,22994754.0,54643.76816877449,33.98839857995437
